Intensity,E4,Composition,Points:0,Points:1,Points:2,Run-Aver-E4,Conv-Gauss
1.1588,1.8039,0,-0.10379,-0.52495,-0.52493,0.430295,6.29956
1.1514,1.7585,0,-0.10379,-0.51712,-0.52493,0.429855,6.35986
1.1443,1.7154,0,-0.10379,-0.50928,-0.52493,0.429674,6.42017
1.1376,1.6755,0,-0.10379,-0.50145,-0.52493,0.42975,6.48033
1.1314,1.6395,0,-0.10379,-0.49361,-0.52493,0.430108,6.54045
1.1259,1.6079,0,-0.10379,-0.48578,-0.52493,0.430763,6.60038
1.1213,1.5813,0,-0.10379,-0.47795,-0.52493,0.431723,6.66015
1.1174,1.5595,0,-0.10379,-0.47011,-0.52493,0.432995,6.71983
1.1143,1.5421,0,-0.10379,-0.46228,-0.52493,0.434584,6.77924
1.1118,1.5282,0,-0.10379,-0.45444,-0.52493,0.436572,6.83851
1.1096,1.5165,0,-0.10379,-0.44661,-0.52493,0.438876,6.89747
1.1076,1.5051,0,-0.10379,-0.43878,-0.52493,0.441491,6.95616
1.1052,1.4925,0,-0.10379,-0.43094,-0.52493,0.444407,7.01464
1.1023,1.4768,0,-0.10379,-0.42311,-0.52493,0.447614,7.07274
1.0986,1.4568,0,-0.10379,-0.41527,-0.52493,0.45118,7.13058
1.0939,1.4323,0,-0.10379,-0.40744,-0.52493,0.455015,7.18798
1.0883,1.4032,0,-0.10379,-0.39961,-0.52493,0.459112,7.24501
1.0818,1.3701,0,-0.10379,-0.39177,-0.52493,0.463467,7.3017
1.0746,1.3337,0,-0.10379,-0.38394,-0.52493,0.46816,7.35788
1.0667,1.2949,0,-0.10379,-0.3761,-0.52493,0.473131,7.41368
1.0582,1.2542,0,-0.10379,-0.36827,-0.52493,0.478427,7.46892
1.0492,1.2124,0,-0.10379,-0.36043,-0.52493,0.484174,7.52373
1.0399,1.17,0,-0.10379,-0.3526,-0.52493,0.490391,7.57793
1.0303,1.1274,0,-0.10379,-0.34477,-0.52493,0.497208,7.63158
1.0205,1.085,0,-0.10379,-0.33693,-0.52493,0.504885,7.68471
1.0104,1.043,0,-0.10379,-0.3291,-0.52493,0.513602,7.73717
1.0003,1.0017,0,-0.10379,-0.32126,-0.52493,0.523754,7.78905
0.98996,0.9611,0,-0.10379,-0.31343,-0.52493,0.535679,7.84021
0.97956,0.92142,0,-0.10379,-0.3056,-0.52493,0.549951,7.89069
0.96908,0.88269,0,-0.10379,-0.29776,-0.52493,0.567031,7.94052
0.95854,0.84494,0,-0.10379,-0.28993,-0.52493,0.587517,7.98955
0.94792,0.8082,0,-0.10379,-0.28209,-0.52493,0.611731,8.03788
0.93725,0.77246,0,-0.10379,-0.27426,-0.52493,0.639893,8.08537
0.92652,0.73774,0,-0.10379,-0.26643,-0.52493,0.671807,8.13205
0.91573,0.70403,0,-0.10379,-0.25859,-0.52493,0.706608,8.17795
0.90489,0.67134,0,-0.10379,-0.25076,-0.52493,0.743623,8.22293
0.89402,0.63968,0,-0.10379,-0.24292,-0.52493,0.782084,8.26709
0.88311,0.60907,0,-0.10379,-0.23509,-0.52493,0.821615,8.31029
0.8722,0.57955,0,-0.10379,-0.22725,-0.52493,0.862268,8.35261
0.8613,0.55115,0,-0.10379,-0.21942,-0.52493,0.904858,8.39393
0.85045,0.52391,0,-0.10379,-0.21159,-0.52493,0.951431,8.43427
0.83967,0.49788,0,-0.10379,-0.20375,-0.52493,1.00433,8.47366
0.82903,0.47312,0,-0.10379,-0.19592,-0.52493,1.06702,8.51199
0.81855,0.44966,0,-0.10379,-0.18808,-0.52493,1.14662,8.54932
0.80831,0.42755,0,-0.10379,-0.18025,-0.52493,1.25364,8.58554
0.79834,0.40685,0,-0.10379,-0.17242,-0.52493,1.41124,8.62068
0.78872,0.38757,0,-0.10379,-0.16458,-0.52493,1.68286,8.65477
0.7795,0.36974,0,-0.10379,-0.15675,-0.52493,1.93473,8.68769
0.77075,0.35338,0,-0.10379,-0.14891,-0.52493,2.34229,8.71951
0.76251,0.33848,0,-0.10379,-0.14108,-0.52493,3.11863,8.75013
0.75485,0.32503,0,-0.10379,-0.13325,-0.52493,4.03743,8.77957
0.7478,0.31302,0,-0.10379,-0.12541,-0.52493,4.80414,8.80786
0.7414,0.3024,0,-0.10379,-0.11758,-0.52493,5.43961,8.8349
0.73568,0.29313,0,-0.10379,-0.10974,-0.52493,5.93273,8.86075
0.73064,0.28516,0,-0.10379,-0.10191,-0.52493,6.30522,8.88533
0.72631,0.27841,0,-0.10379,-0.094075,-0.52493,6.7348,8.90867
0.72265,0.2728,0,-0.10379,-0.08624,-0.52493,7.968,8.93074
0.71965,0.26827,0,-0.10379,-0.078406,-0.52493,8.23759,8.95152
0.71726,0.26471,0,-0.10379,-0.070572,-0.52493,8.33766,8.97101
0.71545,0.26203,0,-0.10379,-0.062738,-0.52493,8.55214,8.9892
0.71415,0.26012,0,-0.10379,-0.054904,-0.52493,9.09818,9.00607
0.7133,0.25887,0,-0.10379,-0.04707,-0.52493,9.24973,9.02162
0.71281,0.25817,0,-0.10379,-0.039236,-0.52493,9.31666,9.03583
0.71263,0.25791,0,-0.10379,-0.031402,-0.52493,9.38762,9.0487
0.71266,0.25797,0,-0.10379,-0.023567,-0.52493,9.50676,9.06022
