"Intensity","E4","Composition","Points:0","Points:1","Points:2"
1.1277,1.6173,0,-0.27891,-1.9073,-1.6434
1.121,1.5794,0,-0.27891,-1.8843,-1.6434
1.1121,1.5297,0,-0.27891,-1.8613,-1.6434
1.1018,1.4741,0,-0.27891,-1.8383,-1.6434
1.0913,1.4189,0,-0.27891,-1.8153,-1.6434
1.0815,1.3693,0,-0.27891,-1.7924,-1.6434
1.0735,1.3291,0,-0.27891,-1.7694,-1.6434
1.0676,1.3006,0,-0.27891,-1.7464,-1.6434
1.0643,1.2847,0,-0.27891,-1.7234,-1.6434
1.0635,1.2808,0,-0.27891,-1.7004,-1.6434
1.065,1.2882,0,-0.27891,-1.6774,-1.6434
1.0686,1.3055,0,-0.27891,-1.6544,-1.6434
1.0739,1.3318,0,-0.27891,-1.6315,-1.6434
1.0808,1.3664,0,-0.27891,-1.6085,-1.6434
1.089,1.4082,0,-0.27891,-1.5855,-1.6434
1.0981,1.4557,0,-0.27891,-1.5625,-1.6434
1.1076,1.5071,0,-0.27891,-1.5395,-1.6434
1.1173,1.5605,0,-0.27891,-1.5165,-1.6434
1.1267,1.614,0,-0.27891,-1.4936,-1.6434
1.1357,1.6659,0,-0.27891,-1.4706,-1.6434
1.1438,1.7142,0,-0.27891,-1.4476,-1.6434
1.151,1.7574,0,-0.27891,-1.4246,-1.6434
1.157,1.7945,0,-0.27891,-1.4016,-1.6434
1.1618,1.8246,0,-0.27891,-1.3786,-1.6434
1.1654,1.8475,0,-0.27891,-1.3556,-1.6434
1.1679,1.8634,0,-0.27891,-1.3327,-1.6434
1.1694,1.8728,0,-0.27891,-1.3097,-1.6434
1.1699,1.8761,0,-0.27891,-1.2867,-1.6434
1.1696,1.8741,0,-0.27891,-1.2637,-1.6434
1.1685,1.8675,0,-0.27891,-1.2407,-1.6434
1.1669,1.8571,0,-0.27891,-1.2177,-1.6434
1.1647,1.8433,0,-0.27891,-1.1948,-1.6434
1.1621,1.8271,0,-0.27891,-1.1718,-1.6434
1.1594,1.81,0,-0.27891,-1.1488,-1.6434
1.1566,1.793,0,-0.27891,-1.1258,-1.6434
1.154,1.7771,0,-0.27891,-1.1028,-1.6434
1.1517,1.7628,0,-0.27891,-1.0798,-1.6434
1.1497,1.7506,0,-0.27891,-1.0569,-1.6434
1.148,1.7405,0,-0.27891,-1.0339,-1.6434
1.1467,1.7324,0,-0.27891,-1.0109,-1.6434
1.1456,1.7263,0,-0.27891,-0.9879,-1.6434
1.1449,1.7219,0,-0.27891,-0.96491,-1.6434
1.1444,1.719,0,-0.27891,-0.94193,-1.6434
1.1442,1.7175,0,-0.27891,-0.91894,-1.6434
1.1441,1.7171,0,-0.27891,-0.89596,-1.6434
1.1442,1.7176,0,-0.27891,-0.87297,-1.6434
1.1444,1.7183,0,-0.27891,-0.84999,-1.6434
1.1445,1.7191,0,-0.27891,-0.82701,-1.6434
1.1446,1.7196,0,-0.27891,-0.80402,-1.6434
1.1446,1.7196,0,-0.27891,-0.78104,-1.6434
1.1445,1.7188,0,-0.27891,-0.75805,-1.6434
1.1442,1.7168,0,-0.27891,-0.73507,-1.6434
1.1436,1.7134,0,-0.27891,-0.71208,-1.6434
1.1428,1.7086,0,-0.27891,-0.6891,-1.6434
1.1418,1.7022,0,-0.27891,-0.66611,-1.6434
1.1405,1.6943,0,-0.27891,-0.64313,-1.6434
1.1389,1.6852,0,-0.27891,-0.62015,-1.6434
1.1372,1.6748,0,-0.27891,-0.59716,-1.6434
1.1352,1.6631,0,-0.27891,-0.57418,-1.6434
1.133,1.6505,0,-0.27891,-0.55119,-1.6434
1.1308,1.6374,0,-0.27891,-0.52821,-1.6434
1.1285,1.6241,0,-0.27891,-0.50522,-1.6434
1.1262,1.611,0,-0.27891,-0.48224,-1.6434
1.1239,1.5979,0,-0.27891,-0.45926,-1.6434
1.1216,1.585,0,-0.27891,-0.43627,-1.6434
1.1194,1.5726,0,-0.27891,-0.41329,-1.6434
1.1173,1.561,0,-0.27891,-0.3903,-1.6434
1.1155,1.5505,0,-0.27891,-0.36732,-1.6434
